FID,objectid,id,name,road_front,suburb,se_area_sh,se_length_,On_Off,Details,GlobalID
136,150,1,Worser Bay Beach,yes,Seatoun,0,0,Restrictions,Prohibited from 10am – 7pm every day during summer. Off leash before 10am and after 7pm. All the time during winter.,8972a4cc-1461-4220-be4d-69c5414be197
137,188,1,Makara Beach,yes,Makara Beach,0,0,Off leash,Off leash under control of owner,f43aa0ea-40c2-427b-b296-36417e68878f
138,189,1,Weka Bay Beach,yes,Roseneath,0,0,Off leash,Off leash under control of owner,b3bc6e5d-cfa1-47ed-971d-053a540b27be
139,190,1,Kio Bay Beach,yes,Hataitai,0,0,Off leash,Off leash under control of owner,1d825374-8678-4e89-bd08-a249860c888a
140,191,1,Little Karaka Bay Beach,yes,Roseneath,0,0,Off leash,Off leash under control of owner,8d039e9b-11da-44fa-aa2e-81810f49d0cb
141,192,1,Houghton Bay Beach,yes,Houghton Bay,0,0,Off leash,Off leash under control of owner,b38dfe23-4504-426d-9fad-bcdce78c13fa
142,126,1,Vice Regal North,no,Newtown,0,0,Off leash,Off leash under control of owner,53c3173d-4fce-44a0-8bc0-4f2dc6cb704c
143,99,1,Willowbank Park,no,Tawa,0,0,Off leash,Off leash under control of owner,a51a41b6-2b49-489e-9d01-ce9f3f1c9d0b
144,62,1,Waihinahina Park in Memory of Dennis Duggan,no,Newlands,0,0,Off leash,Off leash under control of owner,5b006165-3992-4d34-98b0-230495a2556d
145,67,1,Te Ahumairangi Slopes,no,Thorndon,0,0,Off leash,Off leash under control of owner,95927606-4d27-423b-aed7-43d480c92252
146,78,1,Hataitai Park,yes,Hataitai,0,0,Off leash,Off leash under control of owner,58ce8259-32a8-4f3d-8fd5-1b3444855fd9
147,78,1,Hataitai Park_2,yes,Hataitai,0,0,Off leash,Off leash under control of owner,727459e9-ddb4-4c3b-b694-c139929b1875
148,193,1,Finnimore Terrace,no,Karori,0,0,Off leash,Off leash under control of owner,197057cf-e837-41e4-a466-87c7806ecc0d
149,194,1,Sirsi Terrace_Khandallah Park,no,Khandallah,0,0,Off leash,Off leash under control of owner,ea48261a-c6aa-4121-8d89-978e631402c8
150,97,1,Top of Te Ahumairangi Hill,no,Northland,0,0,Off leash,Off leash under control of owner,c8c1f233-7c6c-488e-bdb4-155d4dae29da
151,195,1,Stebbings Dam,yes,Churton Park,0,0,Off leash,Off leash under control of owner,a694b995-b472-42e4-b78e-522a65a68964
152,196,1,Ian Galloway Park,yes,Northland,0,0,Off leash,Off leash under control of owner,abde2aff-2244-4e14-8a2e-5fbec89b35aa
154,198,1,Taputeranga Island_1,no,Island Bay,0,0,Prohibited,Prohibited,1092646c-3a11-47a4-abe6-5cc752457ee1
155,199,1,Taputeranga Island_2,no,Island Bay,0,0,Prohibited,Prohibited,cc6fccb5-1149-4e73-ac78-542e5e232a20
156,145,0,Freyberg Beach,no,Oriental Bay,0,0,Prohibited,Prohibited,ebef8530-bc75-48eb-b43a-3e66a58ccf48
157,200,1,Tarakena Bay Beach_2,yes,Strathmore Park,0,0,On leash,On leash,bc05cb7b-a193-4dfd-8d55-a53bce231938
158,201,1,Island Bay Beach_2,yes,Island Bay,0,0,Prohibited,Prohibited,9c314f5c-47db-4f4b-85c8-019938aca3da
159,146,3,Seatoun Beach – Off Leash Area,yes,Seatoun,0,0,Off leash,Off leash before 10am and after 7pm in summer and off-leash at all times in winter. Dogs are prohibited from these areas from 10am to 7pm every day during summer.,8ab0bb68-0599-4747-8621-cf8b33746b98
160,202,1,North Seatoun Beach – Prohibited Area,no,Seatoun,0,0,Prohibited,Prohibited,9fec771d-2848-48b3-a61d-40bda21c611e
161,203,1,Evans Bay Marina,yes,Evans Bay,0,0,Prohibited,Prohibited,d604f05c-e1a7-45cc-afed-e0de5c7bb566
